2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-11 09:18:40 | T1002 | A10025 | TRANSFER | 6500.00 | Brisbane | APPROVED
2026-07-11 09:20:12 | T1003 | A10025 | ONLINE_PURCHASE | 120.00 | Sydney | DECLINED
2026-07-11 09:22:05 | T1004 | A20318 | CASH_WITHDRAWAL | 500.00 | Gold Coast | APPROVED
2026-07-11 10:00:00 | T1005 | A99999 | TRANSFER | 200.00 | Brisbane | APPROVED
2026-07-11 10:05:00 | T1006 | A99999 | CARD_PAYMENT | 45.50 | Brisbane | APPROVED
2026-07-11 10:10:00 | T1007 | A99999 | DIRECT_DEBIT | 89.99 | Brisbane | APPROVED
2026-07-11 11:00:00 | T1008 | A55555 | ONLINE_PURCHASE | 50.00 | Sydney | DECLINED
2026-07-11 11:05:00 | T1009 | A55555 | ONLINE_PURCHASE | 75.00 | Sydney | DECLINED
2026-07-11 11:10:00 | T1010 | A55555 | CARD_PAYMENT | 120.00 | Melbourne | DECLINED
2026-07-11 11:15:00 | T1011 | A55555 | TRANSFER | 300.00 | Brisbane | DECLINED
2026-07-11 11:20:00 | T1012 | A55555 | CASH_WITHDRAWAL | 200.00 | Gold Coast | APPROVED
2026-07-11 12:00:00 | T1013 | A77777 | TRANSFER | 150.00 | Brisbane | APPROVED
2026-07-11 12:30:00 | T1014 | A77777 | CARD_PAYMENT | 80.00 | Sydney | APPROVED
2026-07-11 13:00:00 | T1015 | A77777 | CASH_WITHDRAWAL | 250.00 | Gold Coast | APPROVED
2026-07-11 13:30:00 | T1016 | A77777 | ONLINE_PURCHASE | 95.00 | Melbourne | APPROVED
2026-07-11 14:00:00 | T1017 | A33333 | ONLINE_PURCHASE | 30.00 | Brisbane | DECLINED
2026-07-11 14:05:00 | T1018 | A33333 | CARD_PAYMENT | 45.00 | Brisbane | DECLINED
2026-07-11 14:10:00 | T1019 | A33333 | TRANSFER | 60.00 | Brisbane | DECLINED
2026-07-11 14:15:00 | T1020 | A33333 | DIRECT_DEBIT | 25.00 | Brisbane | DECLINED
2026-07-11 14:20:00 | T1021 | A33333 | CASH_WITHDRAWAL | 100.00 | Brisbane | APPROVED
2026-07-11 15:00:00 | T1022 | A44444 | TRANSFER | 4999.99 | Brisbane | APPROVED
2026-07-11 15:30:00 | T1023 | A44444 | TRANSFER | 4999.50 | Sydney | APPROVED
2026-07-11 16:00:00 | T1024 | A44444 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-11 16:30:00 | T1025 | A20318 | CARD_PAYMENT | 350.00 | Brisbane | APPROVED
2026-07-11 17:00:00 | T1026 | A20318 | DIRECT_DEBIT | 1200.00 | Brisbane | APPROVED
2026-07-11 17:30:00 | T1027 | A10025 | CASH_WITHDRAWAL | 400.00 | Brisbane | PENDING
2026-07-11 18:00:00 | T1028 | A88888 | TRANSFER | 250.00 | Cairns | APPROVED
2026-07-11 18:30:00 | T1029 | A88888 | CARD_PAYMENT | 180.00 | Townsville | APPROVED
2026-07-11 19:00:00 | T1030 | A88888 | ONLINE_PURCHASE | 95.00 | Brisbane | APPROVED
2026-07-11 19:30:00 | T1031 | A88888 | CASH_WITHDRAWAL | 300.00 | Gold Coast | APPROVED
2026-07-11 20:00:00 | T1032 | A10025 | TRANSFER | 750.00 | Brisbane | APPROVED
2026-07-11 20:30:00 | T1033 | A20318 | ONLINE_PURCHASE | 55.00 | Sunshine Coast | APPROVED
2026-07-11 21:00:00 | T1034 | A55555 | DIRECT_DEBIT | 45.00 | Brisbane | DECLINED
2026-07-11 21:30:00 | T1035 | A77777 | DIRECT_DEBIT | 200.00 | Brisbane | APPROVED
2026-07-11 22:00:00 | T1036 | A99999 | ONLINE_PURCHASE | 35.00 | Brisbane | APPROVED
2026-07-11 22:30:00 | T1037 | A44444 | CARD_PAYMENT | 150.00 | Brisbane | APPROVED
2026-07-11 23:00:00 | T1038 | A88888 | TRANSFER | 420.00 | Toowoomba | APPROVED
2026-07-11 23:30:00 | T1039 | A10025 | CARD_PAYMENT | 280.00 | Brisbane | APPROVED
2026-07-12 08:00:00 | T1040 | A20318 | TRANSFER | 900.00 | Brisbane | APPROVED
2026-07-12 08:30:00 | T1041 | A33333 | ONLINE_PURCHASE | 40.00 | Brisbane | DECLINED
